waiting for 1 second sample...
#Date Time [NET]RxPktTot [NET]TxPktTot [NET]RxKBTot [NET]TxKBTot [NET]RxCmpTot [NET]RxMltTot [NET]TxCmpTot [NET]RxErrsTot [NET]TxErrsTot [IB]InPkt [IB]OutPkt [IB]InKB [IB]OutKB [IB]Err
20170529 15:52:14 3 4 0 1 0 4 0 0 0 0 2 0 0 0
20170529 15:52:15 4 7 0 1 0 2 0 0 0 0 1138 140082 32 0
20170529 15:52:16 3 5 0 1 0 3 0 0 0 0 6595 811651 181 0
20170529 15:52:17 3 4 0 1 0 4 0 0 0 0 7749 951733 213 0
20170529 15:52:18 3 6 0 1 0 2 0 0 0 0 6906 848731 190 0
20170529 15:52:19 3 4 0 1 0 2 0 0 0 0 7322 900748 201 0
20170529 15:52:20 4 6 0 7 0 5 0 0 0 0 7117 874996 195 0
20170529 15:52:21 4 6 0 1 0 2 0 0 0 0 5352 667449 147 0
20170529 15:52:22 50 54 62 29 0 3 0 0 0 0 581015 2420061 2254265 0
20170529 15:52:23 6 6 1 1 0 3 0 0 0 0 1087073 4354895 4224107 0
20170529 15:52:24 4 6 0 1 0 3 0 0 0 0 1038748 4458878 4026360 0
20170529 15:52:25 4 9 0 32 0 3 0 0 0 0 1175152 4533172 4571718 0
20170529 15:52:26 3 4 0 1 0 3 0 0 0 0 1271091 4570350 4954628 0
20170529 15:52:27 4 7 0 4 0 2 0 0 0 0 1255474 4812518 4884884 0
20170529 15:52:28 3 6 0 1 0 4 0 0 0 0 1272910 4624805 4959955 0
20170529 15:52:29 3 4 0 1 0 2 0 0 0 0 1302626 4467378 5084212 0
20170529 15:52:30 37 45 10 45 0 4 0 0 0 0 518495 2464279 2001585 0
20170529 15:52:31 10 14 1 12 0 2 0 0 0 0 0 0 0 0
20170529 15:52:32 36 50 4 48 0 3 0 0 0 0 2 0 0 0
20170529 15:52:33 24 32 58 24 0 4 0 0 0 0 418035 1755284 1613639 0
20170529 15:52:34 2 4 0 1 0 2 0 0 0 0 2500716 9726260 9712826 0
20170529 15:52:35 5 7 1 16 0 2 0 0 0 0 2541515 10101280 9864333 0
20170529 15:52:36 4 6 0 1 0 5 0 0 0 0 2615402 9187048 10191087 0
20170529 15:52:37 43 59 6 37 0 1 0 0 0 0 1454610 5805161 5642239 0
20170529 15:52:38 22 24 57 23 0 4 0 0 0 0 1762832 7496233 7064871 0
20170529 15:52:39 4 6 0 1 0 3 0 0 0 0 2245189 9152167 9006890 0
20170529 15:52:40 3 4 0 1 0 3 0 0 0 0 2172172 8734194 8713926 0
20170529 15:52:41 4 8 0 8 0 3 0 0 0 0 2103979 8530681 8440771 0
20170529 15:52:42 16 28 2 41 0 3 0 0 0 0 853985 3188843 3426680 0
20170529 15:52:43 3 5 0 1 0 2 0 0 0 0 0 0 0 0
