waiting for 1 second sample...
#Date Time [NET]RxPktTot [NET]TxPktTot [NET]RxKBTot [NET]TxKBTot [NET]RxCmpTot [NET]RxMltTot [NET]TxCmpTot [NET]RxErrsTot [NET]TxErrsTot [IB]InPkt [IB]OutPkt [IB]InKB [IB]OutKB [IB]Err
20170526 18:52:34 2 4 0 1 0 1 0 0 0 0 0 0 0 0
20170526 18:52:35 8 10 1 3 0 5 0 0 0 0 2 0 0 0
20170526 18:52:36 3 4 0 1 0 1 0 0 0 0 0 0 0 0
20170526 18:52:37 3 5 0 1 0 4 0 0 0 0 2 0 0 0
20170526 18:52:38 10 18 1 3 0 2 0 0 0 0 0 0 0 0
20170526 18:52:39 3 4 0 1 0 4 0 0 0 0 2 0 0 0
20170526 18:52:40 3 6 0 1 0 2 0 0 0 0 0 0 0 0
20170526 18:52:41 4 6 0 1 0 4 0 0 0 0 2964 374926 82 0
20170526 18:52:42 11 10 5 4 0 2 0 0 0 0 7889 997053 217 0
20170526 18:52:43 3 5 0 1 0 5 0 0 0 0 8785 1108295 241 0
20170526 18:52:44 3 6 0 1 0 0 0 0 0 0 9014 1141255 248 0
20170526 18:52:45 9 13 1 3 0 5 0 0 0 0 10292 1301937 283 0
20170526 18:52:46 18 19 2 3 0 2 0 0 0 0 10827 1367858 297 0
20170526 18:52:47 4 7 0 1 0 3 0 0 0 0 6220 786931 171 0
20170526 18:52:48 29 31 59 24 0 3 0 0 0 0 17 2 4 0
20170526 18:52:49 4 5 0 1 0 4 0 0 0 0 2 0 0 0
20170526 18:52:50 5 8 0 1 0 2 0 0 0 0 0 0 0 0
20170526 18:52:51 2 4 0 1 0 4 0 0 0 0 2 0 0 0
20170526 18:52:52 105 107 19 18 0 1 0 0 0 0 0 0 0 0
20170526 18:52:53 6 9 1 11 0 4 0 0 0 0 2 0 0 0
20170526 18:52:54 2 4 0 1 0 2 0 0 0 0 0 0 0 0
20170526 18:52:55 6 9 1 20 0 3 0 0 0 0 750301 2798236 2921806 0
20170526 18:52:56 9 13 1 2 0 3 0 0 0 0 1189374 4804609 4619366 0
20170526 18:52:57 10 10 5 4 0 3 0 0 0 0 1284895 5217692 4991023 0
20170526 18:52:58 14 26 2 38 0 2 0 0 0 0 1500857 5451611 5850066 0
20170526 18:52:59 4 6 0 1 0 5 0 0 0 0 1443631 5847306 5608786 0
20170526 18:53:00 2 4 0 1 0 1 0 0 0 0 1447417 5955862 5618217 0
20170526 18:53:01 17 21 2 3 0 4 0 0 0 0 1523647 5509936 5936647 0
20170526 18:53:02 4 6 0 1 0 3 0 0 0 0 1542687 5872509 6002556 0
20170526 18:53:03 2 4 0 1 0 2 0 0 0 0 1562800 5732456 6086736 0
20170526 18:53:04 42 44 11 16 0 3 0 0 0 0 73076 774637 267985 0
20170526 18:53:05 7 11 1 21 0 5 0 0 0 0 2 0 0 0
20170526 18:53:06 2 4 0 1 0 1 0 0 0 0 0 0 0 0
20170526 18:53:07 38 46 3 48 0 5 0 0 0 0 2 0 0 0
20170526 18:53:08 24 29 58 23 0 1 0 0 0 0 879969 3551369 3409873 0
20170526 18:53:09 2 4 0 1 0 4 0 0 0 0 2257941 8881899 8767365 0
20170526 18:53:10 3 4 0 1 0 2 0 0 0 0 2339072 9225872 9083409 0
20170526 18:53:11 4 6 0 1 0 3 0 0 0 0 1839586 6768890 7170037 0
20170526 18:53:12 15 15 5 12 0 3 0 0 0 0 2150283 6955965 8395262 0
20170526 18:53:13 15 17 1 25 0 3 0 0 0 0 12599 1471224 379 0
20170526 18:53:14 36 27 58 23 0 3 0 0 0 0 610221 2679654 2447100 0
20170526 18:53:15 7 9 1 20 0 4 0 0 0 0 2486570 10732614 9971392 0
20170526 18:53:16 18 21 2 7 0 2 0 0 0 0 2617983 10414633 10501088 0
20170526 18:53:17 4 8 0 1 0 3 0 0 0 0 2499177 9734094 10025928 0
20170526 18:53:18 15 28 2 27 0 3 0 0 0 0 992725 3339234 3983756 0
20170526 18:53:19 3 4 0 1 0 3 0 0 0 0 2 0 0 0
20170526 18:53:20 3 6 0 1 0 3 0 0 0 0 0 0 0 0
20170526 18:53:21 3 4 0 1 0 3 0 0 0 0 2 0 0 0
