waiting for 1 second sample...
#Date Time [NET]RxPktTot [NET]TxPktTot [NET]RxKBTot [NET]TxKBTot [NET]RxCmpTot [NET]RxMltTot [NET]TxCmpTot [NET]RxErrsTot [NET]TxErrsTot [IB]InPkt [IB]OutPkt [IB]InKB [IB]OutKB [IB]Err
20170529 15:57:36 17 18 29 12 0 5 0 0 0 0 3726 457326 102 0
20170529 15:57:37 53 68 9 10 0 2 0 0 0 0 826470 3642921 3198062 0
20170529 15:57:38 2 4 0 1 0 3 0 0 0 0 1102612 4545456 4277729 0
20170529 15:57:39 5 6 1 1 0 3 0 0 0 0 1117209 4675814 4331326 0
20170529 15:57:40 2 4 0 1 0 3 0 0 0 0 1151168 4576387 4470821 0
20170529 15:57:41 2 4 0 1 0 2 0 0 0 0 1226313 5051647 4755917 0
20170529 15:57:42 8 12 1 4 0 5 0 0 0 0 1237603 4764095 4813688 0
20170529 15:57:43 5 9 0 12 0 1 0 0 0 0 1190046 4760492 4623998 0
20170529 15:57:44 3 4 0 1 0 4 0 0 0 0 1292519 4376014 5047167 0
20170529 15:57:45 22 23 8 8 0 3 0 0 0 0 387931 573064 1537924 0
20170529 15:57:46 2 4 0 1 0 3 0 0 0 0 2 0 0 0
20170529 15:57:47 19 26 2 24 0 2 0 0 0 0 0 0 0 0
20170529 15:57:48 5 7 0 1 0 4 0 0 0 0 2 0 0 0
20170529 15:57:49 115 118 47 30 0 2 0 0 0 0 639567 2058787 2496634 0
20170529 15:57:50 3 5 0 1 0 4 0 0 0 0 2285940 8518253 8893510 0
20170529 15:57:51 6 10 1 20 0 2 0 0 0 0 2321262 9145303 9015074 0
20170529 15:57:52 26 34 5 5 0 3 0 0 0 0 2345107 9109209 9110431 0
20170529 15:57:53 10 15 1 23 0 3 0 0 0 0 1809231 5849039 7066874 0
20170529 15:57:54 7 12 1 6 0 4 0 0 0 0 70213 1675802 226987 0
20170529 15:57:55 13 14 29 12 0 1 0 0 0 0 960660 4226258 3837330 0
20170529 15:57:56 6 12 1 47 0 4 0 0 0 0 2314433 8888623 9287993 0
20170529 15:57:57 4 7 0 4 0 3 0 0 0 0 2259282 9003870 9064715 0
20170529 15:57:58 2 5 0 1 0 3 0 0 0 0 2457301 9598631 9857744 0
20170529 15:57:59 4 6 0 4 0 2 0 0 0 0 1286003 5940730 5157360 0
20170529 15:58:00 7 12 1 12 0 4 0 0 0 0 2 0 0 0
20170529 15:58:01 3 5 0 1 0 2 0 0 0 0 0 0 0 0
