waiting for 1 second sample...
#Date Time [NET]RxPktTot [NET]TxPktTot [NET]RxKBTot [NET]TxKBTot [NET]RxCmpTot [NET]RxMltTot [NET]TxCmpTot [NET]RxErrsTot [NET]TxErrsTot [IB]InPkt [IB]OutPkt [IB]InKB [IB]OutKB [IB]Err
20170526 18:52:34 3 6 0 1 0 1 0 0 0 0 0 0 0 0
20170526 18:52:35 5 7 0 1 0 5 0 0 0 0 2 0 0 0
20170526 18:52:36 3 4 0 1 0 1 0 0 0 0 0 0 0 0
20170526 18:52:37 4 6 0 1 0 5 0 0 0 0 2 0 0 0
20170526 18:52:38 3 6 0 1 0 1 0 0 0 0 0 0 0 0
20170526 18:52:39 6 10 1 1 0 4 0 0 0 0 2 0 0 0
20170526 18:52:40 4 5 0 1 0 2 0 0 0 0 0 0 0 0
20170526 18:52:41 3 6 0 1 0 4 0 0 0 0 2745 337845 76 0
20170526 18:52:42 13 22 2 5 0 2 0 0 0 0 7332 902292 201 0
20170526 18:52:43 7 16 1 84 0 5 0 0 0 0 9245 1137135 254 0
20170526 18:52:44 9 13 1 2 0 1 0 0 0 0 10583 1301937 291 0
20170526 18:52:45 5 9 0 1 0 4 0 0 0 0 10592 1301937 291 0
20170526 18:52:46 15 15 2 6 0 2 0 0 0 0 10119 1244257 278 0
20170526 18:52:47 5 9 1 2 0 4 0 0 0 0 6453 795171 177 0
20170526 18:52:48 38 31 59 24 0 1 0 0 0 0 17 2 4 0
20170526 18:52:49 3 7 0 1 0 5 0 0 0 0 2 0 0 0
20170526 18:52:50 4 6 0 1 0 2 0 0 0 0 0 0 0 0
20170526 18:52:51 2 4 0 1 0 4 0 0 0 0 2 0 0 0
20170526 18:52:52 10 11 1 20 0 1 0 0 0 0 0 0 0 0
20170526 18:52:53 8 12 1 28 0 5 0 0 0 0 2 0 0 0
20170526 18:52:54 2 4 0 1 0 1 0 0 0 0 0 0 0 0
20170526 18:52:55 3 4 0 1 0 4 0 0 0 0 669802 3094272 2587382 0
20170526 18:52:56 4 6 0 1 0 3 0 0 0 0 1083491 4690171 4198336 0
20170526 18:52:57 104 107 19 18 0 3 0 0 0 0 1163503 5070738 4508178 0
20170526 18:52:58 3 4 0 1 0 2 0 0 0 0 1524925 5495603 5947589 0
20170526 18:52:59 5 8 1 1 0 5 0 0 0 0 1447863 5571671 5635025 0
20170526 18:53:00 3 5 0 1 0 0 0 0 0 0 1471163 5747710 5723204 0
20170526 18:53:01 18 22 2 6 0 5 0 0 0 0 1516762 5877760 5901268 0
20170526 18:53:02 14 26 2 23 0 2 0 0 0 0 1494992 5860109 5815566 0
20170526 18:53:03 2 4 0 1 0 3 0 0 0 0 1549116 5699487 6033446 0
20170526 18:53:04 41 44 11 16 0 3 0 0 0 0 423619 564862 1680774 0
20170526 18:53:05 4 6 0 1 0 4 0 0 0 0 2 0 0 0
20170526 18:53:06 13 18 1 13 0 1 0 0 0 0 0 0 0 0
20170526 18:53:07 12 14 1 12 0 6 0 0 0 0 2 0 0 0
20170526 18:53:08 39 50 59 47 0 1 0 0 0 0 884586 3824099 3419767 0
20170526 18:53:09 3 4 0 1 0 5 0 0 0 0 2290661 8839067 8900726 0
20170526 18:53:10 3 5 0 1 0 1 0 0 0 0 2303334 8940740 8948525 0
20170526 18:53:11 4 6 0 1 0 4 0 0 0 0 1834753 6760285 7150540 0
20170526 18:53:12 7 11 1 24 0 3 0 0 0 0 2094711 7006206 8171561 0
20170526 18:53:13 13 25 1 62 0 4 0 0 0 0 85234 1443389 292904 0
20170526 18:53:14 28 35 57 24 0 1 0 0 0 0 660173 27 2656073 0
20170526 18:53:15 6 9 1 1 0 5 0 0 0 0 2627214 9693261 10540906 0
20170526 18:53:16 14 15 2 6 0 1 0 0 0 0 2542395 10309549 10197163 0
20170526 18:53:17 4 9 0 2 0 4 0 0 0 0 2561122 9830279 10274935 0
20170526 18:53:18 12 21 1 30 0 2 0 0 0 0 778807 7017701 3111641 0
20170526 18:53:19 3 5 0 1 0 4 0 0 0 0 2 0 0 0
20170526 18:53:20 4 7 0 1 0 2 0 0 0 0 0 0 0 0
20170526 18:53:21 3 4 0 1 0 4 0 0 0 0 2 0 0 0
