waiting for 1 second sample...
#Date Time [NET]RxPktTot [NET]TxPktTot [NET]RxKBTot [NET]TxKBTot [NET]RxCmpTot [NET]RxMltTot [NET]TxCmpTot [NET]RxErrsTot [NET]TxErrsTot [IB]InPkt [IB]OutPkt [IB]InKB [IB]OutKB [IB]Err
20170529 16:09:58 15 20 1 21 0 3 0 0 0 0 2 0 0 0
20170529 16:09:59 4 6 0 1 0 4 0 0 0 0 0 0 0 0
20170529 16:10:00 32 36 36 17 0 2 0 0 0 0 2 0 0 0
20170529 16:10:01 2 4 0 1 0 4 0 0 0 0 0 0 0 0
20170529 16:10:02 8 11 1 10 0 2 0 0 0 0 2 0 0 0
20170529 16:10:03 5 10 0 2 0 3 0 0 0 0 0 0 0 0
20170529 16:10:04 2 4 0 1 0 3 0 0 0 0 2 0 0 0
20170529 16:10:05 7 10 1 12 0 3 0 0 0 0 0 0 0 0
20170529 16:10:06 4 6 0 1 0 3 0 0 0 0 2 0 0 0
20170529 16:10:07 38 51 5 91 0 3 0 0 0 0 0 0 0 0
20170529 16:10:08 4 5 0 1 0 2 0 0 0 0 2 0 0 0
20170529 16:10:09 6 7 1 1 0 5 0 0 0 0 0 0 0 0
20170529 16:10:10 2 4 0 1 0 1 0 0 0 0 2 0 0 0
20170529 16:10:11 3 4 0 1 0 3 0 0 0 0 0 0 0 0
20170529 16:10:12 9 19 1 89 0 4 0 0 0 0 2 0 0 0
20170529 16:10:13 7 13 1 4 0 3 0 0 0 0 0 0 0 0
20170529 16:10:14 6 9 1 13 0 4 0 0 0 0 2 0 0 0
20170529 16:10:15 8 14 1 18 0 3 0 0 0 0 0 0 0 0
20170529 16:10:16 3 4 0 1 0 2 0 0 0 0 2 0 0 0
20170529 16:10:17 321216 319853 2651520 2654349 0 4 0 0 0 0 0 0 0 0
20170529 16:10:18 194491 123239 1656856 994585 0 2 0 0 0 0 2 0 0 0
20170529 16:10:19 503983 240193 4307572 1880243 0 4 0 0 0 0 0 0 0 0
20170529 16:10:20 473820 507654 3924697 4241255 0 2 0 0 0 0 2 0 0 0
20170529 16:10:21 549672 644107 4548964 5412893 0 3 0 0 0 0 0 0 0 0
20170529 16:10:22 418516 517471 3446407 4346572 0 4 0 0 0 0 2 0 0 0
20170529 16:10:23 286234 263067 2385175 2187460 0 2 0 0 0 0 0 0 0 0
20170529 16:10:24 463409 495022 3855860 4139072 0 2 0 0 0 0 2 0 0 0
20170529 16:10:25 403934 348094 3382544 2871199 0 5 0 0 0 0 0 0 0 0
20170529 16:10:26 412460 419254 3412780 3479549 0 1 0 0 0 0 2 0 0 0
20170529 16:10:27 326502 390401 2653274 3261502 0 4 0 0 0 0 0 0 0 0
20170529 16:10:28 105331 66608 894687 534318 0 3 0 0 0 0 2 0 0 0
20170529 16:10:29 9935 127891 641 1122700 0 2 0 0 0 0 0 0 0 0
20170529 16:10:30 4 6 0 1 0 4 0 0 0 0 2 0 0 0
20170529 16:10:31 3 4 0 1 0 3 0 0 0 0 0 0 0 0
20170529 16:10:32 15 17 15 3 0 2 0 0 0 0 2 0 0 0
20170529 16:10:33 10 19 1 3 0 4 0 0 0 0 0 0 0 0
20170529 16:10:34 6 7 1 2 0 2 0 0 0 0 2 0 0 0
20170529 16:10:35 3 4 0 1 0 4 0 0 0 0 0 0 0 0
